datetime,temperature,humidity,wind_speed
2025-06-15 00:00:00,19.6,60,8.7
2025-06-15 01:00:00,18.9,61,10.2
2025-06-15 02:00:00,18.0,62,10.0
2025-06-15 03:00:00,17.2,63,10.1
2025-06-15 04:00:00,16.9,63,8.8
2025-06-15 05:00:00,17.2,64,7.0
2025-06-15 06:00:00,18.7,58,5.8
2025-06-15 07:00:00,20.7,54,7.6
2025-06-15 08:00:00,22.9,50,2.3
2025-06-15 09:00:00,25.2,44,4.5
2025-06-15 10:00:00,27.5,40,5.5
2025-06-15 11:00:00,29.4,35,3.3
2025-06-15 12:00:00,30.6,32,5.2
2025-06-15 13:00:00,31.2,31,8.1
2025-06-15 14:00:00,31.8,30,11.0
2025-06-15 15:00:00,31.6,34,10.9
2025-06-15 16:00:00,29.6,32,18.6
2025-06-15 17:00:00,25.0,67,21.7
2025-06-15 18:00:00,21.9,73,17.9
2025-06-15 19:00:00,20.4,74,18.8
2025-06-15 20:00:00,19.6,73,15.8
2025-06-15 21:00:00,18.5,82,13.8
2025-06-15 22:00:00,18.0,82,15.3
2025-06-15 23:00:00,17.5,80,15.0
